,Arctic herb subzone,northern Arctic dwarf shrub subzone,middle Arctic dwarf shrub subzone,southern Arctic dwarf shrub subzone,Arctic shrub subzone ,Adjacent non-Arctic (Boreal or Boreal-alpine) area,Species occurring in the Arctic,Arctic endemic species (A-E),Borderline species (bEN),Species occuring as stabilized introduction only,Species occuring as native and non native stabilized,Species occurring as non native stabilized and casual,Sspecies occurring as native and non native stabilized and casual,Species occurring both as native and casual,PAF code number of genus
6307 Hedysarum,,,,,,,,,,,,,,,6307
630701a H. boreale ssp. mackenziei,–,–,R,F,F,F,1,,,,,,,,
630701b H. boreale ssp. dasycarpum,–,–,?,S,F,F,1,,,,,,,,
630702 H. americanum,–,–,–,S,F,F,1,,,,,,,,
630703 H. vicioides,–,–,–,–,R,F,1,,,,,,,,
630704a H. hedysaroides ssp. arcticum,–,R,F,F,F,F,1,,,,,,,,
630704b H. hedysaroides ssp. tschuktschorum,–,–,S,F,F,F,1,,,,,,,,
6308 Vicia,,,,,,,,,,,,,,,6308
630801 V. sepium,–,–,–,?,F,F,1,,,,1,,,,
630802 V. cracca,–,–,–,?,F,F,1,,,,1,,,,
630803 V. macrantha,–,–,–,–,R,F,1,,,,,,,,
630804 V. americana,–,–,–,–,R,F,1,,,,,,,,
6309 Lathyrus,,,,,,,,,,,,,,,6309
630901 L. pratensis,–,–,–,**,R,R,1,,,,,,1,,
630902a L. palustris ssp. palustris,–,–,–,–,R,F,1,,,,,,,,
630902b L. palustris ssp. pilosus,–,–,–,R,F,F,1,,,,,,,,
630903 L. japonicus,–,–,–,R,F,F,1,,,,,,,,
64 ROSACEAE,,,,,,,,,,,,,,,
6401 Spiraea,,,,,,,,,,,,,,,6401
640101 S. salicifolia,–,–,–,–,R,F,1,,,,,,,,
640102 S. stevenii,–,–,–,?,F,F,1,,,,,,,,
640103 S. betulifolia,–,–,–,–,b,R,1,,1,,,,,,
640104 S. media,–,–,–,?,F,F,1,,,,,,,,
640105 S. dahurica,–,–,–,–,R,F,1,,,,,,,,
6402 Luetkea,,,,,,,,,,,,,,,6402
640201 L. pectinata,–,–,–,–,b,F,1,,1,,,,,,
6403 Aruncus,,,,,,,,,,,,,,,6403
640301 A. dioicus s. lat.,–,–,–,–,R,F,1,,,,,,,,
6404 Filipendula,,,,,,,,,,,,,,,6404
640401 F. ulmaria,–,–,–,R,F,F,1,,,,,,,,
6405 Rubus,,,,,,,,,,,,,,,6405
640501 R. chamaemorus,–,–,R,F,F,F,1,,,,,,,,
640502 R. arcticus,–,–,–,R,F,F,1,,,,,,,,
640503 R. acaulis,–,–,–,–,S,F,1,,,,,,,,
640504 R. stellatus,–,–,–,R,F,F,1,,,,,,,,
640505 R. saxatilis,–,–,–,–,F,F,1,,,,,,,,
640506 R. pubescens,–,–,–,–,R,F,1,,,,,,,,
640507 R. humulifolius,–,–,–,–,R,S,1,,,,,,,,
640508a R. idaeus ssp. idaeus,–,–,–,–,R,F,1,,,,1,,,,
640508b R. idaeus ssp. melanolasius,–,–,–,–,R,F,1,,,,,,,,
640508c R. idaeus ssp. sachalinensis,–,–,–,–,R,F,1,,,,,,,,
6406 Rosa,,,,,,,,,,,,,,,6406
640601a R. acicularis ssp. acicularis,–,–,–,?,F,F,1,,,,,,,,
640601b R. acicularis ssp. sayi,–,–,–,R,S,F,1,,,,,,,,
640602 R. majalis,–,–,–,–,R,F,1,,,,,,,,
6407 Sanguisorba,,,,,,,,,,,,,,,6407
640701 S. officinalis,–,–,–,R,F,F,1,,,,,,,,
640702 S. alpina,–,–,–,–,*,–,1,1,,1,,,,,
640703a S. canadensis ssp. latifolia,–,–,–,–,S,F,1,,,,,,,,
6408 Dryas,,,,,,,,,,,,,,,6408
640801 D. octopetala,–,R,F,F,F,F,1,,,,,,,,
640802a D. ajanensis ssp. beringensis,–,–,–,R,F,F,1,,,,,,,,
640803a D. punctata ssp. punctata,–,R,F,F,F,F,1,,,,,,,,
640803b D. punctata ssp. alaskensis,–,–,–,R,F,F,1,,,,,,,,
640804 D. incisa,–,R,F,F,F,F,1,,,,,,,,
640805 D. crenulata,–,–,–,–,R,S,1,,,,,,,,
640806a D. integrifolia ssp. integrifolia,–,R,F,F,F,F,1,,,,,,,,
640806b D. integrifolia ssp. sylvatica,–,–,–,–,S,F,1,,,,,,,,
640807 D. grandis,–,–,–,–,R,S,1,,,,,,,,
640808 D. drummondii,–,–,–,–,R,F,1,,,,,,,,
6409 Geum,,,,,,,,,,,,,,,6409
640901 G. rivale,–,–,?,R,F,F,1,,,,,,,,
640902a G. aleppicum ssp. strictum,–,–,–,–,R,S,1,,,,,,,,
640903a G. macrophyllum ssp. perincisum,–,–,–,–,R,F,1,,,,,,,,
640904 G. calthifolium,–,–,–,–,R,S,1,,,,,,,,
640905 G. rossii,–,R,R,F,F,F,1,,,,,,,,
640906 G. glaciale,R,S,F,F,F,S,1,,,,,,,,
6410 Potentilla,,,,,,,,,,,,,,,6410
641001 P. biflora,–,–,?,R,F,F,1,,,,,,,,
641002 P. pulchella,S,F,F,F,S,R,1,,,,,,,,
641003 P. bimundorum,–,–,–,–,R,S,1,,,,,,,,
641004 P. tergemina,–,–,–,–,*,*,1,,,1,,,,,
641005 P. anachoretica,–,–,R,S,F,F,1,,,,,,,,
641006 P. lyngei,–,–,S,S,R,R,1,,,,,,,,
641007 P. wrangelii,–,–,R,R,–,–,1,1,,,,,,,
641008 P. pensylvanica,–,–,–,–,R,F,1,,,,1,,,,
641009 P. bipinnatifida,–,–,–,–,R,S,1,,,,,,,,
641010 P. nudicaulis,–,–,–,–,R,F,1,,,,,,,,
641011 P. litoralis,–,–,–,–,R,F,1,,,,,,,,
641012 P. sp. (aff. pensylvanica),–,–,–,–,R,–,1,1,,,,,,,
641013 P. rubricaulis,–,–,–,–,R,S,1,,,,,,,,
641014 P. pedersenii,–,S,F,F,R,–,1,1,,,,,,,
641015 P. insularis,–,?,S,R,–,–,1,1,,,,,,,
641016 P. uschakovii,–,–,R,S,S,–,1,1,,,,,,,
641017 P. villosa,–,–,–,–,R,F,1,,,,,,,,
641018 P. villosula,–,–,–,S,F,F,1,,,,,,,,
641019 P. uniflora,–,–,R,F,F,F,1,,,,,,,,
641020 P. vulcanicola,–,–,R,F,F,F,1,,,,,,,,
641021 P. subvahliana,–,F,F,F,S,R,1,,,,,,,,
641022 P. vahliana,–,S,S,S,?,–,1,1,,,,,,,
641023 P. gorodkovii,–,–,S,F,F,F,1,,,,,,,,
641024 P. subgorodkovii,–,–,R,F,F,F,1,,,,,,,,
641025a P. crebridens ssp. hemicryophila,–,–,R,F,F,F,1,,,,,,,,
641026 P. nivea,–,R,F,F,F,F,1,,,,,,,,
641027a P. arenosa ssp. arenosa,–,–,R,R,F,F,1,,,,,,,,
641027b P. arenosa ssp. chamissonis,–,?,S,F,F,F,1,,,,,,,,
641028 P. neglecta,–,–,–,–,*,R,1,,,,,1,,,
641029 P. intermedia,–,–,–,–,*,S,1,,,1,,,,,
641030 P. norvegica,–,–,–,–,S,F,1,,,,,,1,,
641031 P. thuringiaca,–,–,–,–,*,*,1,,,1,,,,,
641032 P. anadyrensis,–,–,–,–,S,F,1,,,,,,,,
641033 P. stipularis,–,–,R,F,F,F,1,,,,,,,,
641034 P. rubella,–,–,R,R,R,–,1,1,,,,,,,
641035 P. glaucophylla,–,–,–,R,S,R,1,,,,,,,,
641036 P. elegans,–,–,R,F,F,F,1,,,,,,,,
641037 P. crantzii,–,–,S,F,F,F,1,,,,,,,,
641038a P. gelida ssp. boreo–asiatica,–,–,–,R,F,F,1,,,,,,,,
641039a P. hyparctica ssp. hyparctica,S,F,F,F,S,–,1,1,,,,,,,
641039b P. hyparctica ssp. elatior,–,–,–,F,F,F,1,,,,,,,,
641039c P. hyparctica ssp. nivicola,–,?,R,F,F,F,1,,,,,,,,
641040 P. pulviniformis,–,–,R,S,S,?,1,?,,,,,,,
641041 P. nana,–,–,–,–,R,S,1,,,,,,,,
641042 P. fragiformis,–,–,–,R,F,F,1,,,,,,,,
641043 P. erecta,–,–,–,–,R,F,1,,,,,,,,
641044a P. anserina ssp. anserina,–,–,–,–,F,F,1,,,,,,,,
641044b P. anserina ssp. yukonensis,–,–,–,–,b,S,1,,1,,,,,,
641044c P. anserina ssp. egedii,–,–,?,S,F,F,1,,,,,,,,
641044d P. anserina ssp. pacifica,–,–,–,–,R,F,1,,,,,,,,
6411 Dasiphora,,,,,,,,,,,,,,,6411
641101a D. fruticosa ssp. floribunda,–,–,–,S,F,F,1,,,,,,,,
6412 Comarum,,,,,,,,,,,,,,,6412
641201 C. palustre,–,–,–,R,F,F,1,,,,,,,,
6413 Sibbaldiopsis,,,,,,,,,,,,,,,6413
641301 S. tridentata,–,–,?,F,F,F,1,,,,,,,,
6414 Sibbaldia,,,,,,,,,,,,,,,6414
641401 S. procumbens,–,–,R,F,F,F,1,,,,,,,,
6415 Chamaerhodos,,,,,,,,,,,,,,,6415
641501 C. grandiflora,–,–,–,–,b,R,1,,1,,,,,,
6416 Fragaria,,,,,,,,,,,,,,,6416
641601a F. vesca ssp. vesca,–,–,–,–,R,F,1,,,,,,,,
641601b F. vesca ssp. americana,–,–,–,–,R,S,1,,,,,,,,
641602a F. virginiana ssp. virginiana,–,–,–,–,R,F,1,,,,,,,,
641602b F. virginiana ssp. glauca,–,–,–,–,b,F,1,,1,,,,,,
6417 Alchemilla,,,,,,,,,,,,,,,6417
641701 A. alpina,–,–,?,F,F,F,1,,,,,,,,
641702 A. faeroeensis,–,–,–,–,R,F,1,,,,,,,,
641703 A. monticola,–,–,–,–,R,F,1,,,,,,,,
641704 A. acutiloba,–,–,–,–,*,*,1,,,1,,,,,
641705 A. subcrenata,–,–,–,–,R,F,1,,,,,,,1,
641706a A. filicaulis ssp. filicaulis,–,–,?,S,F,F,1,,,,,,,1,
641706b A. filicaulis ssp. vestita,–,–,–,–,R,S,1,,,,,,,,
641707 A. semispoliata,–,–,–,–,R,R,1,,,,,,,,
641708 A. glomerulans,–,–,S,F,F,F,1,,,,,,,,
641709 A. borealis,–,–,–,–,R,S,1,,,,,,,,
641710 A. obtusiformis,–,–,–,–,R,F,1,,,,,,,,
641712 A. baltica,–,–,–,–,*,S,1,,,1,,,,,
641713 A. wichurae,–,–,–,–,F,F,1,,,,,,,,
641714 A. murbeckiana,–,–,–,R,F,F,1,,,,,,,,
641716 A. glabra,–,–,–,–,R,F,1,,,,,,,,
641717 A. cunctatrix,–,–,–,–,R,R,1,,,,,,,,
641718 A. glabriformis,–,–,–,–,R,R,1,,,,,,,,
641719 A. norvegica,–,–,–,–,R,F,1,,,,,,,,
6418 Sorbus,,,,,,,,,,,,,,,6418
641801 S. scopulina,–,–,–,–,R,S,1,,,,,,,,
641802a S. aucuparia ssp. aucuparia,–,–,–,–,R,F,1,,,,,,,,
641802b S. aucuparia ssp. glabrata,–,–,–,–,R,S,1,,,,,,,,
641802c S. aucuparia ssp. sibirica,–,–,–,–,R,F,1,,,,,,,,
641803 S. anadyrensis,–,–,–,–,R,F,1,,,,,,,,
641804 S. groenlandica,–,–,–,–,R,S,1,,,,,,,,
641805 S. sambucifolia,–,–,–,–,b,S,1,,1,,,,,,
6419 Amelanchier,,,,,,,,,,,,,,,6419
641901 A. bartramiana,–,–,–,–,R,F,1,,,,,,,,
6420 Cotoneaster,,,,,,,,,,,,,,,6420
642001 C. uniflorus,–,–,–,–,R,S,1,,,,,,,,
642002 C. niger,–,–,–,–,R,S,1,,,,,,,,
6421 Prunus,,,,,,,,,,,,,,,6421
642101a P. padus ssp. padus,–,–,–,–,R,F,1,,,,,,,,
65 ELAEAGNACEAE,,,,,,,,,,,,,,,
6501 Shepherdia,,,,,,,,,,,,,,,6501
650101 S. canadensis,–,–,–,R,F,F,1,,,,,,,,
66 URTICACEAE,,,,,,,,,,,,,,,
6601 Urtica,,,,,,,,,,,,,,,6601
660101a U. dioica ssp. dioica,–,–,**,*,R,F,1,,,,,,1,,
660101b U. dioica ssp. sondenii,–,–,–,–,R,F,1,,,,,,,,
660102 U. gracilis,–,–,–,–,R,F,1,,,,,,,,
660103 U. urens,–,–,–,–,R,S,1,,,,,,1,,
67 BRASSICACEAE,,,,,,,,,,,,,,,
6701 Descurainia,,,,,,,,,,,,,,,6701
670101 D. sophia,–,–,–,–,*,*,1,,,,,1,,,
670102 D. sophioides,–,–,?,S,F,F,1,,,,,,,,
670103 D. incana,–,–,–,–,*,R,1,,,1,,,,,
6702 Smelowskia,,,,,,,,,,,,,,,6702
670201 S. alba,–,–,–,–,R,S,1,,,,,,,,
670202 S. bifurcata,–,–,–,–,b,R,1,,1,,,,,,
670203 S. media,–,–,–,–,R,S,1,,,,,,,,
670204 S. porsildii,–,–,–,R,S,S,1,,,,,,,,
670205 S. borealis,–,–,–,S,S,S,1,,,,,,,,
670206 S. pyriformis,–,–,–,–,b,R,1,,1,,,,,,
670207 S. parryoides,–,–,–,S,F,F,1,,,,,,,,
670208 S. jacutica,–,–,–,R,F,F,1,,,,,,,,
670209 S. czukotica,–,–,–,–,R,–,1,1,,,,,,,
6703 Dontostemon,,,,,,,,,,,,,,,6703
670301 D. pectinatus,–,–,–,R,R,S,1,,,,,,,,
6704 Aphragmus,,,,,,,,,,,,,,,6704
670401 A. eschscholtzianus,–,–,–,–,R,S,1,,,,,,,,
6705 Arabidopsis,,,,,,,,,,,,,,,6705
670501 A. arenosa (ssp. arenosa),–,–,–,**,*,S,1,,,,,1,,,
670502 A. kamtschatica,–,–,–,R,F,F,1,,,,,,,,
670503a A. petraea ssp. petraea,–,–,–,–,F,F,1,,,,,,,,
670503b A. petraea ssp. septentrionalis,–,R,F,F,F,F,1,,,,,,,,
670503c A. petraea ssp. umbrosa,–,–,–,S,F,F,1,,,,,,,,
670504 A. arenicola,–,R,F,F,F,R,1,,,,,,,,
6706 Transberingia,,,,,,,,,,,,,,,6706
670601 T. bursifolia,–,R,R,S,S,R,1,,,,,,,,
6707 Eutrema,,,,,,,,,,,,,,,6707
670701 E. edwardsii,S,F,F,F,F,S,1,,,,,,,,
6708 Thellungiella,,,,,,,,,,,,,,,6708
670801 T. salsuginea,–,–,–,–,R,R,1,,,,,,,,
6709 Braya,,,,,,,,,,,,,,,6709
670901 B. linearis,–,–,R,S,S,F,1,,,,,,,,
670902 B. siliquosa,–,–,–,–,R,S,1,,,,,,,,
670903a B. humilis ssp. humilis,?,S,F,F,F,S,1,,,,,,,,
670903b B. humilis ssp. ellesmerensis,–,R,R,–,–,–,1,1,,,,,,,
670904a B. glabella ssp. glabella,–,–,R,R,F,S,1,,,,,,,,
670904b B. glabella ssp. prostrata,–,R,R,–,–,–,1,1,,,,,,,
670904c B. glabella ssp. purpurascens,R,F,F,F,S,R,1,,,,,,,,
670905a B. thorild–wulffii ssp. thorild–wulffii,S,S,S,R,–,–,1,1,,,,,,,
670905b B. thorild–wulffii ssp. glabrata,–,–,R,R,–,–,1,1,,,,,,,
670906 B. pilosa,–,?,R,R,R,?,1,?,,,,,,,
670907 B. rosea,–,–,–,–,R,S,1,,,,,,,,
6710 Erysimum,,,,,,,,,,,,,,,6710
671001 E. pallasii,R,F,F,F,S,R,1,,,,,,,,
671002 E. coarctatum,–,–,–,?,S,F,1,,,,,,,,
671003 E. strictum,–,–,–,–,R,F,1,,,,,,,,
671004 E. marschallianum,–,–,–,–,R,R,1,,,,,,,,
671005 E. altum,–,–,–,–,S,F,1,,,,,,,,
6711 Parrya,,,,,,,,,,,,,,,6711
671101a P. nudicaulis ssp. nudicaulis,R,F,F,F,F,F,1,,,,,,,,
671101b P. nudicaulis ssp. interior,–,–,–,–,b,F,1,,1,,,,,,
671102 P. nauruaq,–,–,–,–,R,–,1,1,,,,,,,
671103 P. arctica,S,F,F,F,S,R,1,,,,,,,,
6712 Barbarea,,,,,,,,,,,,,,,6712
671201 B. vulgaris,–,–,*,*,*,*,1,,,1,,,,,
671202 B. orthoceras,–,–,–,?,S,F,1,,,,,,,,
671203 B. stricta,–,–,–,–,R,F,1,,,,1,,,,
6713 Rorippa,,,,,,,,,,,,,,,6713
671301 R. amphibia,–,–,–,–,R,S,1,,,,,,,,
671302 R. sylvestris (ssp. sylvestris),–,–,**,–,*,*,1,,,,,1,,,
671303a R. islandica ssp. islandica,–,–,–,R,S,S,1,,,,,,,,
671303b R. islandica ssp. dogadovae,–,–,–,–,R,R,1,,,,,,,,
671304 R. palustris,–,–,–,?,S,F,1,,,,1,,,,
671305 R. barbareifolia,–,–,–,–,R,S,1,,,,,,,,
671306 R. calycina,–,–,–,–,R,–,1,1,,,,,,,
6714 Armoracia,,,,,,,,,,,,,,,6714
671401 A. sisymbrioides,–,–,–,–,*,S,1,,,1,,,,,
6715 Isatis,,,,,,,,,,,,,,,6715
671501a I. tinctoria ssp. jacutensis,–,–,–,–,R,S,1,,,,,,,,
6716 Cardamine,,,,,,,,,,,,,,,6716
671601 C. trifida,–,–,–,R,S,R,1,,,,,,,,
671602 C. macrophylla,–,–,–,–,S,F,1,,,,,,,,
671603a C. pratensis ssp. angustifolia,F,F,F,F,F,S,1,,,,,,,,
671604 C. amara,–,–,–,–,b,F,1,,1,,,,,,
671605 C. pensylvanica,–,–,–,–,b,F,1,,1,,,,,,
671607 C. umbellata,–,–,–,R,S,F,1,,,,,,,,
671608 C. prorepens,–,–,–,–,R,S,1,,,,,,,,
671609 C. bellidifolia (ssp. bellidifolia),F,F,F,F,F,F,1,,,,,,,,
671610 C. digitata,–,–,R,F,F,S,1,,,,,,,,
671611 C. microphylla,–,–,R,S,S,R,1,,,,,,,,
671612 C. blaisdellii,–,–,R,F,F,F,1,,,,,,,,
671613 C. purpurea,–,–,R,S,S,S,1,,,,,,,,
671614 C. sphenophylla,–,–,–,R,R,–,1,1,,,,,,,
671615 C. victoris,–,–,–,S,S,R,1,,,,,,,,
6717 Arabis,,,,,,,,,,,,,,,6717
671701 A. alpina,–,R,F,F,F,F,1,,,,,,,,
671702 A. hirsuta,–,–,–,–,R,S,1,,,,,,,,
671703 A. pycnocarpa,–,–,–,–,R,F,1,,,,,,,,
6718 Boechera,,,,,,,,,,,,,,,6718
671801 B. drummondii,–,–,–,–,R,S,1,,,,,,,,
671802 B. divaricarpa,–,–,–,–,R,F,1,,,,,,,,
671803 B. holboellii (ssp. holboellii),–,–,?,S,S,F,1,,,,,,,,
6719 Alyssum,,,,,,,,,,,,,,,6719
671901 A. obovatum,–,–,–,R,S,S,1,,,,,,,,
6720 Lesquerella,,,,,,,,,,,,,,,6720
672001 L. arctica,R,F,F,F,F,S,1,,,,,,,,
672002 L. calderi,–,–,–,–,R,R,1,,,,,,,,
6721 Draba,,,,,,,,,,,,,,,6721
672101 D. pauciflora,F,F,F,F,S,–,1,1,,,,,,,
672102 D. micropetala,F,F,F,F,R,–,1,1,,,,,,,
672103 D. simmonsii,F,F,F,S,R,–,1,1,,,,,,,
672104 D. stenopetala,–,–,–,S,S,S,1,,,,,,,,
672105 D. tschuktschorum,–,–,R,R,R,–,1,1,,,,,,,
672106 D. alpina,S,F,F,F,F,F,1,,,,,,,,
672107 D. glacialis,–,R,F,F,F,S,1,,,,,,,,
672108 D. oxycarpa,S,F,F,F,F,S,1,,,,,,,,
"672109 D. ""pseudo–oxycarpa""",–,R,S,S,R,?,1,?,,,,,,,
672110 D. macounii,–,–,–,–,S,S,1,,,,,,,,
672111 D. eschscholtzii,–,–,?,R,R,R,1,,,,,,,,
672113 D. pilosa,–,–,R,F,F,S,1,,,,,,,,
672114 D. corymbosa,F,F,F,F,S,R,1,,,,,,,,
672115 D. oligosperma,–,–,–,R,–,S,1,,,,,,,,
672116 D. fladnizensis,–,?,S,F,F,F,1,,,,,,,,
672117 D. subcapitata,F,F,F,F,S,R,1,,,,,,,,
672118 D. lactea,F,F,F,F,F,S,1,,,,,,,,
672119 D. taimyrensis,–,–,R,R,–,–,1,1,,,,,,,
672120 D. nivalis,S,F,F,F,F,F,1,,,,,,,,
672121 D. chamissonis,–,–,–,R,R,S,1,,,,,,,,
672122 D. lonchocarpa (var. lonchocarpa),–,–,R,R,R,F,1,,,,,,,,
672123 D. palanderiana,–,–,R,S,S,S,1,,,,,,,,
672125 D. cinerea,–,–,R,S,F,F,1,,,,,,,,
672126a D. arctica ssp. arctica,F,F,F,F,R,–,1,1,,,,,,,
672126b D. arctica ssp. ostenfeldii,S,S,?,–,–,–,1,1,,,,,,,
672127 D. oblongata,F,F,F,F,R,–,1,1,,,,,,,
672128 D. arctogena,S,S,S,S,S,R,1,,,,,,,,
672129 D. parvisiliquosa,–,–,R,R,R,R,1,,,,,,,,
672130 D. norvegica,–,R,S,F,F,F,1,,,,,,,,
672131 D. glabella,–,S,F,F,F,F,1,,,,,,,,
672132 D. juvenilis,–,–,–,R,F,F,1,,,,,,,,
672134 D. incana,–,–,?,S,F,F,1,,,,,,,,
672135 D. cana,–,–,–,S,F,F,1,,,,,,,,
672136 D. borealis,–,–,–,R,S,S,1,,,,,,,,
672137 D. sibirica,–,–,S,F,F,F,1,,,,,,,,
672138 D. nemorosa,–,–,–,–,S,F,1,,,,1,,,,
672139 D. verna,–,–,–,–,R,S,1,,,,,,,1,
672140 D. aurea,–,–,R,F,F,F,1,,,,,,,,
672141 D. incerta,–,–,–,–,R,R,1,,,,,,,,
672142 D. crassifolia,–,–,R,F,F,F,1,,,,,,,,
672143 D. stenoloba,–,–,–,–,R,S,1,,,,,,,,
6722 Nesodraba,,,,,,,,,,,,,,,6722
672201 N. grandis,–,–,–,–,R,S,1,,,,,,,,
6723 Cochlearia,,,,,,,,,,,,,,,6723
672301 C. officinalis,–,–,–,–,S,F,1,,,,,,,,
672302 C. groenlandica,F,F,F,F,F,S,1,,,,,,,,
672303a C. arctica ssp. arctica,–,–,R,F,F,F,1,,,,,,,,
672303b C. arctica ssp. oblongifolia,–,–,–,R,R,S,1,,,,,,,,
6724 Thlaspi,,,,,,,,,,,,,,,6724
672401 T. arvense,–,–,**,**,*,R,1,,,,,1,,,
6725 Noccaea,,,,,,,,,,,,,,,6725
672501 N. arctica,–,–,–,R,R,S,1,,,,,,,,
672502 N. camtschatica,–,–,–,–,R,S,1,,,,,,,,
6726 Capsella,,,,,,,,,,,,,,,6726
672601 C. bursa–pastoris,–,–,**,*,*,S,1,,,,,,1,,
6727 Brassica,,,,,,,,,,,,,,,6727
672701a B. rapa ssp. campestris,–,–,**,**,*,*,1,,,,,1,,,
6728 Subularia,,,,,,,,,,,,,,,6728
672801a S. aquatica ssp. aquatica,–,–,–,–,R,F,1,,,,,,,,
672801b S. aquatica ssp. americana,–,–,?,R,R,F,1,,,,,,,,
6729 Cakile,,,,,,,,,,,,,,,6729
672901a C. maritima ssp. islandica,–,–,R,–,R,F,1,,,,,,,,
672902 C. edentula (ssp. edentula),–,–,–,–,R,F,1,,,,,,,,
68 CORNACEAE,,,,,,,,,,,,,,,
6801 Chamaepericlymenum,,,,,,,,,,,,,,,6801
680101 C. suecicum,–,–,–,R,F,F,1,,,,,,,,
680102 C. canadense,–,–,–,–,S,F,1,,,,,,,,
680103 C. unalaschkense,–,–,–,–,R,F,1,,,,,,,,
6802 Swida,,,,,,,,,,,,,,,6802
680202 S. sericea,–,–,–,–,b,F,1,,1,,,,,,
69 BALSAMINACEAE,,,,,,,,,,,,,,,
6901 Impatiens,,,,,,,,,,,,,,,6901
690101 I. noli–tangere,–,–,–,–,R,S,1,,,,1,,,,
70 POLEMONIACEAE,,,,,,,,,,,,,,,
7001 Phlox,,,,,,,,,,,,,,,7001
700101 P. sibirica,–,–,–,R,S,S,1,,,,,,,,
700102 P. alaskensis,–,–,–,R,S,S,1,,,,,,,,
700103 P. hoodii,–,–,R,S,S,S,1,,,,,,,,
7002 Polemonium,,,,,,,,,,,,,,,7002
700201 P. caeruleum,–,–,–,–,R,F,1,,,,,,,,
700202 P. acutiflorum,–,–,R,F,F,F,1,,,,,,,,
700203 P. boreale,–,R,F,F,F,S,1,,,,,,,,
700204a P. pulcherrimum ssp. pulcherrimum,–,–,–,–,b,R,1,,1,,,,,,
700204b P. pulcherrimum ssp. lindleyi,–,–,–,R,R,F,1,,,,,,,,
71 PRIMULACEAE,,,,,,,,,,,,,,,
7101 Primula,,,,,,,,,,,,,,,7101
710101 P. elatior (ssp. elatior),–,–,–,–,*,*,1,,,1,,,,,
710102a P. nutans ssp. nutans,–,–,?,R,S,S,1,,,,,,,,
710102b P. nutans ssp. finmarchia,–,–,–,R,F,S,1,,,,,,,,
710103 P. stricta,–,–,R,F,F,S,1,,,,,,,,
710104 P. incana,–,–,–,–,b,S,1,,1,,,,,,
710105 P. mistassinica,–,–,–,–,b,S,1,,1,,,,,,
710106 P. laurentiana,–,–,–,–,R,S,1,,,,,,,,
710107 P. egaliksensis,–,–,–,R,F,F,1,,,,,,,,
710108 P. anvilensis,–,–,–,R,R,–,1,1,,,,,,,
710109 P. borealis,–,–,?,S,F,S,1,,,,,,,,
710110 P. tschuktschorum,–,–,–,R,R,R,1,,,,,,,,
710111 P. pumila,–,–,?,S,S,S,1,,,,,,,,
710112a P. cuneifolia ssp. saxifragifolia,–,–,–,R,S,S,1,,,,,,,,
7102 Dodecatheon,,,,,,,,,,,,,,,7102
710201 D. frigidum,–,–,–,R,F,F,1,,,,,,,,
7103 Cortusa,,,,,,,,,,,,,,,7103
710301a C. matthioli ssp. matthioli,–,–,–,–,F,F,1,,,,,,,,
710301b C. matthioli ssp. altaica,–,–,–,–,R,R,1,,,,,,,,
710301c C. matthioli ssp. sibirica,–,–,–,–,R,R,1,,,,,,,,
7104 Androsace,,,,,,,,,,,,,,,7104
710401a A. chamaejasme ssp. andersonii,–,–,R,F,F,F,1,,,,,,,,
710401b A. chamaejasme ssp. capitata,–,–,–,–,R,S,1,,,,,,,,
710402 A. triflora,R,F,F,F,S,R,1,,,,,,,,
710403 A. gorodkovii,–,–,–,–,R,S,1,,,,,,,,
710404 A. semiperennis,–,–,–,–,R,R,1,,,,,,,,
710405 A. septentrionalis,–,S,F,F,F,F,1,,,,,,,,
710406 A. filiformis,–,–,–,–,R,F,1,,,,,,,,
7105 Douglasia,,,,,,,,,,,,,,,7105
710501 D. ochotensis,–,–,R,F,F,R,1,,,,,,,,
710502 D. arctica,–,–,–,–,S,S,1,,,,,,,,
710503 D. beringensis,–,–,–,–,R,–,1,1,,,,,,,
710504 D. gormanii,–,–,–,–,b,S,1,,1,,,,,,
710505 D. alaskana,–,–,–,–,R,R,1,,,,,,,,
72 MYRSINACEAE,,,,,,,,,,,,,,,
7201 Glaux,,,,,,,,,,,,,,,7201
720101 G. maritima,–,–,–,–,R,F,1,,,,,,,,
7202 Trientalis,,,,,,,,,,,,,,,7202
720201a T. europaea ssp. europaea,–,–,–,R,F,F,1,,,,,,,,
720201b T. europaea ssp. arctica,–,–,–,R,F,F,1,,,,,,,,
720202 T. borealis (ssp. borealis),–,–,–,–,R,F,1,,,,,,,,
7203 Lysimachia,,,,,,,,,,,,,,,7203
720301 L. thyrsiflora,–,–,–,–,R,F,1,,,,,,,,
73 DIAPENSIACEAE,,,,,,,,,,,,,,,
7301 Diapensia,,,,,,,,,,,,,,,7301
730101a D. lapponica ssp. lapponica,–,R,S,F,F,F,1,,,,,,,,
730101b D. lapponica ssp. obovata,–,–,S,F,F,F,1,,,,,,,,
74 ERICACEAE,,,,,,,,,,,,,,,
7401 Rhododendron,,,,,,,,,,,,,,,7401
740101 R. aureum,–,–,–,–,S,F,1,,,,,,,,
740102a R. lapponicum ssp. lapponicum,–,–,S,F,F,F,1,,,,,,,,
740102b R. lapponicum ssp. parvifolium,–,–,–,S,F,F,1,,,,,,,,
740103 R. adamsii,–,–,–,?,S,F,1,,,,,,,,
740104 R. groenlandicum,–,–,–,?,S,F,1,,,,,,,,
